name,latitude,longitude,feature_class,feature_code,type,scale
Tutamoe,-38.23333,177.96667,T,MT,mountain,5
Tutamoe,-35.75,173.8,T,MT,mountain,5
Tutamoe,-35.65,173.65,P,PPL,populated place,4
Tutaki River,-41.83333,172.46667,H,STM,stream,3
Tutaki,-41.81667,172.46667,P,PPL,populated place,4
Tutaepawhati Bay,-47.11667,168.06667,H,BAY,bay,3
Tutaenui Stream,-40.2,175.35,H,STM,stream,3
Tutaengarahi,-38.55,175.93333,T,MT,mountain,5
Tutaematai Stream,-35.33333,174.3,H,STM,stream,3
Tutaemaro,-38.83333,177.11667,T,MT,mountain,5
Tutaekuri River,-42.55,171.96667,H,STM,stream,3
Tutaekuri River,-39.5,176.9,H,STM,stream,3
Tutaekuri River,-38.96667,177.36667,H,STM,stream,3
Tutaekuri,-40.56667,176.23333,T,HLL,hill,5
Tussock Creek,-46.25,168.41666999999998,P,PPL,populated place,4
Turua,-37.23333,175.56667,P,PPL,populated place,4
Turton Stream,-43.43333,171.36667,H,STM,stream,3
Turton Saddle,-43.36667,171.36667,T,PASS,pass,4
Turret Range,-45.53333,167.35,T,MTS,mountains,2
Turret Peaks,-45.11667,167.75,T,PKS,peaks,5
Turret Peaks,-44.28333,169.08333000000002,T,PKS,peaks,5
Turnley Creek,-44.1,168.61667,H,STM,stream,3
Turn Round Point,-44.8,167.55,T,PT,point,4
Turn Round Hill,-44.8,167.53333,T,HLL,hill,5
Turn Point,-41.15,173.86667,T,PT,point,4
Turn Peak,-45.08333,167.06667,T,PK,peak,5
Turner Peak,-40.93333,173.93333,T,PK,peak,5
Turner Pass,-44.61667,168.03333,T,PASS,pass,4
Mount Turner,-44.21667,169.08333000000002,T,MT,mountain,5
Lake Turner,-44.65,168.03333,H,LK,lake,4
Turner,-39.18333,175.55,T,MT,mountain,5
Turnbull River,-43.90658,168.90501,H,STM,stream,3
Mount Turnbull,-45.13333,168.31667,T,MT,mountain,5
Mount Turnbull,-42.85,172.05,T,MT,mountain,5
Cape Turnagain,-40.4906,176.6219,T,CAPE,cape,5
Turnagain,-44.8,170.06667,T,MT,mountain,5
Turks Head,-44.38333,168.56667,T,PK,peak,5
Turks Head,-42.16667,173.28333,T,MT,mountain,5
Turiwiri,-35.95,173.9,T,HLL,hill,5
Turiwhate Range,-42.76667,171.28333,T,MTS,mountains,2
Turiwhate,-42.73333,171.3,P,PPL,populated place,4
Turiwhate,-42.76667,171.3,T,MT,mountain,5
Turitea Stream,-38.05,175.2,H,STM,stream,3
Turiroa,-39.01667,177.41666999999998,P,PPL,populated place,4
Turiri Range,-40.1,176.41666999999998,T,MTS,mountains,2
Turipoto Stream,-38.61667,174.68333,H,STM,stream,3
Turiohineterangi,-39.56667,175.98333,T,MT,mountain,5
Turimawiwi River,-40.73333,172.3,H,STM,stream,3
Turihaua Stream,-38.63333,178.15,H,STM,stream,3
Turihaua Reef,-38.61667,178.18333,H,RF,reef(s),4
Turihaua,-38.61667,178.16666999999998,S,FRM,farm,4
Turiapua,-35.76667,174.45,P,PPL,populated place,4
Turere Creek,-41.33333,174.98333,H,STM,stream,3
Turangi,-38.99037,175.80837,P,PPL,populated place,4
Turanganui River,-41.36667,175.15,H,STM,stream,3
Turangakuma Saddle,-39.08333,176.6,T,PASS,pass,4
Turangakou,-35.23333,173.56667,T,HLL,hill,5
Turanga,-39.45,174.55,T,MT,mountain,5
Turamatua,-38.06667,176.55,H,SPNT,,
Turakirai,-39.26667,174.61667,T,MT,mountain,5
Turakirae Head,-41.43333,174.91666999999998,T,CAPE,cape,5
Turakina South,-40.05147,175.21876,P,PPL,populated place,4
Turakina River,-40.06842,175.13095,H,STM,stream,3
Turakina,-40.04703,175.21472,P,PPL,populated place,4
Tuparoa,-37.91688,178.38655,P,PPL,populated place,4
Tupari,-39.68333,176.18333,T,MT,mountain,5
Tupapakurua Stream,-38.06667,176.2,H,STM,stream,3
Tupapakurua,-39.18333,175.3,H,STM,stream,3
Tupa Stream,-36.85,175.48333,H,STM,stream,3
Tunutara,-39.46667,175.61667,T,MT,mountain,5
Tunurangi,-39.05,176.5,T,MT,mountain,5
Tunupu,-39.55,175.15,T,MT,mountain,5
Tunupu,-39.48333,175.5,T,MT,mountain,5
Tunupo Creek,-39.95,176.03333,H,STM,stream,3
Tunupo,-39.96667,176.08333000000002,T,MT,mountain,5
Tunnel Hill,-44.81667,169.88333,T,MT,mountain,5
Tunnel Creek,-43.81667,169.55,H,STM,stream,3
Tuning Fork Creek,-44.05,168.73333,H,STM,stream,3
Tunapoto,-39.5,174.8,H,STM,stream,3
Tunapapa,-39.48333,174.86667,H,STM,stream,3
Tunapai Stream,-41.2,173.7,H,STM,stream,3
Tunapai,-41.18333,173.71667,T,MT,mountain,5
Tunanui,-39.5,176.58333000000002,S,FRM,farm,4
Tunakore Stream,-40.31667,176.28333,H,STM,stream,3
Tunakino River,-41.21667,173.61667,H,STM,stream,3
Tunaiti,-37.25,175.86667,T,HLL,hill,5
Tuna Bay,-41.1,173.75,H,BAY,bay,3
Tuna,-39.26795,174.29814,P,PPL,populated place,4
Tummil River,-41.66667,173.65,H,STM,stream,3
Tumble Down Bay,-43.85,172.76667,H,BAY,bay,3
Tumatupo,-35.43333,173.51667,T,HLL,hill,5
Tumai,-45.56667,170.7,S,RSTN,railroad station,5
Tumai,-39.1,174.6,T,MT,mountain,5
Tumahu,-39.25,173.91666999999998,P,PPL,populated place,4
Tukutahora,-39.06667,175.01667,T,MT,mountain,5
Tukurua Creek,-40.73333,172.7,H,STM,stream,3
Tukuehi,-35.33333,174.18333,T,HLL,hill,5
Tukoko Creek,-44.65,168.11667,H,STM,stream,3
Tukituki River,-39.6,176.95,H,STM,stream,3
Tukituki,-39.68333,176.93333,S,FRM,farm,4
Tuke River,-43.01667,170.86667,H,STM,stream,3
Tuipake,-39.13333,174.5,T,MT,mountain,5
Tuingara Cove,-40.11667,176.88333,H,COVE,cove(s),4
Tuihu,-39.18333,174.43333,T,HLL,hill,5
Tui,-41.53333,172.73333,P,PPL,populated place,4
Tuhua,-42.81667,171.18333,T,MT,mountain,5
Tuhua,-38.78333,175.45,T,MT,mountain,5
Tuhua,-38.75,175.16666999999998,P,PPL,populated place,4
Tuhirangi,-39.51667,175.65,T,MT,mountain,5
Tuhirangi,-36.51667,174.48333,T,HLL,hill,5
Tuhipa,-35.4,173.95,P,PPL,populated place,4
Tuhingamata,-38.7,175.98333,T,MT,mountain,5
Tuhingamata,-38.68333,175.58333000000002,T,MT,mountain,5
Tuhingakakapo,-38.7,174.63333,T,HLL,hill,5
Tuhikokowai,-35.4,174.06667,T,HLL,hill,5
Tuhiariki,-39.56667,175.3,T,MT,mountain,5
Tuhi,-39.71667,175.1,T,MT,mountain,5
Tuhawaiki Point,-44.45,171.26667,T,PT,point,4
Tuhawaiki Island,-46.51667,169.73333,T,ISL,island,4
Tuha Stream,-39.86667,175.75,H,STM,stream,3
Tuhara,-39.03333,177.51667,P,PPL,populated place,4
Tuha,-39.85,175.8,T,MT,mountain,5
Tuft,-39.75,175.96667,T,MT,mountain,5
Tufa,-39.33333,175.63333,T,MT,mountain,5
Tueri,-41.03333,175.71667,T,MT,mountain,5
Tucks Creek,-46.43333,169.63333,H,STM,stream,3
Tucker Point,-50.53333,166.26667,T,PT,point,4
Lake Tucker,-45.08333,167.26667,H,LK,lake,4
Tucker Cove,-52.55,169.11667,H,COVE,cove(s),4
Tubman Hill,-40.91667,172.3,T,MT,mountain,5
Tuatara,-46.25,169.86667,P,PPL,populated place,4
Tuatapere,-46.13333,167.68333,P,PPL,populated place,4
Tuaraki Stream,-45.3,167.3,H,STM,stream,3
Lake Tuaraki,-45.31667,167.35,H,LK,lake,4
Tuapiro Creek,-37.5,175.93333,H,STM,stream,3
Tuapeka West,-45.93623,169.55149,P,PPL,populated place,4
Tuapeka River,-46.01667,169.51667,H,STM,stream,3
Tuapeka Mouth,-46.01667,169.51667,P,PPL,populated place,4
Tuapeka County,-45.66667,169.5,A,ADM1H,historical first-order administrative division,3
Tuanuiotakou,-39.48333,174.93333,T,MT,mountain,5
Tuanui o te Kahakaha,-38.18333,177.75,T,MT,mountain,5
Tuanaki,-35.06667,173.43333,T,HLL,hill,5
Tuamotu Island,-38.7,178.05,T,ISL,island,4
Tuamarina River,-41.43333,173.96667,H,STM,stream,3
Tuamarina,-41.43333,173.95,P,PPL,populated place,4
Tuamarina,-41.43333,173.93333,T,HLL,hill,5
Lake Tuakitoto,-46.21667,169.81667,H,LK,lake,4
Tuakau,-37.27047,174.94384,P,PPL,populated place,4
Tuakau,-37.25,174.95,A,ADM1H,historical first-order administrative division,3
Tuai,-38.81667,177.16666999999998,P,PPL,populated place,4
Tuahu Stream,-39.5,175.28333,H,STM,stream,3
Tuahu,-39.05,174.43333,T,MT,mountain,5
Tuahu,-38.45,176.06667,T,MT,mountain,5
Tuahiwi,-43.33333,172.65,P,PPL,populated place,4
Tuaheni Point,-38.71667,178.06667,T,PT,point,4
Tuaahukuku,-39.56667,174.75,T,MT,mountain,5
Tryphena Harbour,-36.31667,175.46667,H,HBR,,
Tryphena,-36.301429999999996,175.48934,P,PPL,populated place,4
Truini Point,-43.888040000000004,172.96893,T,PT,point,4
Troyte Creek,-43.71667,169.88333,H,STM,stream,3
Trovatore,-42.36667,172.43333,T,MT,mountain,5
Mount Troup,-45.48333,167.13333,T,MT,mountain,5
Trotters Creek,-45.51667,170.7,H,STM,stream,3
Trotters Creek,-45.4,170.85,H,STM,stream,3
Mount Trotter,-45.51667,170.58333000000002,T,MT,mountain,5
Trooper,-40.96667,176.1,T,MT,mountain,5
Troas,-44.48333,168.55,T,PK,peak,5
Lake Tripp,-43.6,171.05,H,LK,lake,4
Triplets,-46.48333,169.71667,T,RKS,rocks,4
Triplet Mountain,-44.35,169.33333000000002,T,MT,mountain,5
Triple Peak,-44.48333,168.93333,T,PK,peak,5
Trio Peaks,-45.2,167.08333000000002,T,PKS,peaks,5
Trio Islands,-40.83333,174.0,T,ISLS,islands,3
Trinity Hill,-43.63333,171.18333,T,MT,mountain,5
Trinity Creek,-44.8,169.91666999999998,H,STM,stream,3
Trig Island,-45.16667,170.56667,T,MT,mountain,5
Trig Hill,-44.71667,169.38333,T,MT,mountain,5
Trig Creek,-43.91667,169.16666999999998,H,STM,stream,3
Trevors Peak,-41.78333,174.01667,T,PK,peak,5
Trentham,-41.13333,175.03333,P,PPL,populated place,4
Trent Stream,-41.56667,172.38333,H,STM,stream,3
River Trent,-42.6,171.96667,H,STM,stream,3
Mount Trent,-43.95,169.73333,T,MT,mountain,5
Trench Burn,-45.08333,168.23333,H,STM,stream,3
Mount Tregear,-43.08333,171.13333,T,MT,mountain,5
Tree Island,-44.95,168.38333,T,ISL,island,4
Tree Hill,-37.06667,174.55,T,HLL,hill,5
Treble Mountain,-46.0,166.68333,T,MT,mountain,5
Treble Cone,-44.63333,168.88333,T,PK,peak,5
Mount Treadwell,-43.06667,171.21667,T,MT,mountain,5
Mount Treacey,-42.71667,171.35,T,MT,mountain,5
Traverse,-41.66667,173.21667,T,MT,mountain,5
Travers Saddle,-42.03333,172.78333,T,PASS,pass,4
Travers River,-41.86667,172.81667,H,STM,stream,3
Travers Range,-41.9,172.75,T,MTS,mountains,2
Travers Peak,-42.38333,172.43333,T,PK,peak,5
Mount Travers,-42.01667,172.73333,T,MT,mountain,5
Trass Valley,-41.43333,173.0,T,VAL,valley,4
Traquair Burn,-45.85,170.23333,H,STM,stream,3
Traquair,-39.15,177.05,S,FRM,farm,4
Traquair,-45.81667,170.15,P,PPL,populated place,4
The Traps,-47.45,167.91666999999998,H,RF,reef(s),4
Transit River,-44.6,167.71667,H,STM,stream,3
Transit Beach,-44.6,167.71667,T,BCH,beach,3
Tramway Creek,-44.18333,170.78333,H,STM,stream,3
Traills Hill,-46.98333,167.8,T,HLL,hill,5
Track Burn,-46.15,167.4,H,STM,stream,3
Towy River,-42.45,173.26667,H,STM,stream,3
Townshend River,-43.182179999999995,172.13456000000002,H,STM,stream,3
Mount Townsend,-43.73333,169.93333,T,MT,mountain,5
Townley Mountains,-45.65,167.28333,T,MTS,mountains,2
Town Point,-37.75,176.46667,T,PT,point,4
Towing Head,-45.4,166.75,T,CAPE,cape,5
Tower Rocks,-40.7,173.96667,T,RKS,rocks,4
Tower Peak,-46.01667,167.05,T,PK,peak,5
Tower Peak,-45.65,167.8,T,PK,peak,5
Tower Hills,-45.91667,166.75,T,MTS,mountains,2
Tower Hill,-45.76667,168.56667,T,MT,mountain,5
Tower Hill,-42.91667,172.4,T,MT,mountain,5
Tower Creek,-45.78333,168.63333,H,STM,stream,3
Towai,-35.48333,174.13333,P,PPL,populated place,4
Tourist Spur,-44.95,170.11667,T,SPUR,,
Toucan Stream,-40.78333,172.33333000000002,H,STM,stream,3
Touaruruhi,-35.65,174.46667,T,HLL,hill,5
Totem,-39.46667,175.73333,T,MT,mountain,5
Totaranui Stream,-40.8,173.0,H,STM,stream,3
Totaranui,-40.81667,173.0,P,PPL,populated place,4
Totaranui,-40.81667,173.0,H,BAY,bay,3
Totara-kai-torea,-43.25,170.13333,H,STM,stream,3
Totara Stream,-41.98333,173.55,H,STM,stream,3
Totara Stream,-40.33333,176.0,H,STM,stream,3
Totara Stream,-39.41667,174.75,H,STM,stream,3
Totara Stream,-38.7,174.71667,H,STM,stream,3
Totara Stream,-38.36667,176.16666999999998,H,STM,stream,3
Totara River,-42.88333,170.8,H,STM,stream,3
Totara River,-41.86667,171.46667,H,STM,stream,3
Totara Peak,-44.48333,170.13333,T,PK,peak,5
Totara Peak,-43.25,171.08333000000002,T,PK,peak,5
Totara North,-35.03333,173.71667,P,PPL,populated place,4
Totara Flat,-42.3,171.61667,P,PPL,populated place,4
Totara Creek,-45.31667,169.95,H,STM,stream,3
Totara Creek,-44.53333,170.08333000000002,H,STM,stream,3
Totara Creek,-44.25,171.1,H,STM,stream,3
Totara,-45.13333,170.86667,P,PPL,populated place,4
Totara,-39.73333,175.38333,T,MT,mountain,5
Totara,-42.5,173.41666999999998,T,MT,mountain,5
Totara,-39.21667,174.38333,T,MT,mountain,5
Totara,-38.3,176.16666999999998,T,MT,mountain,5
Totara,-35.43333,173.95,T,HLL,hill,5
Tory Shoal,-36.41667,174.08333000000002,H,SHOL,,
Tory Channel,-41.24093,174.24251999999998,H,CHN,channel,4
Torrent Bay,-40.95,173.05,H,BAY,bay,3
Torre Stream,-45.31667,167.31667,H,STM,stream,3
Toropuihi,-40.91667,172.1,H,STM,stream,3
Torongo,-41.15,175.28333,H,STM,stream,3
Toromano,-44.95,169.33333000000002,T,MT,mountain,5
Toroa Point,-36.693540000000006,174.75823,T,PT,point,4
Tormore,-42.9,173.13333,P,PPL,populated place,4
Torlesse Range,-43.25,171.81667,T,MTS,mountains,2
Mount Torlesse,-43.26667,171.81667,T,MT,mountain,5
Torere Stream,-37.95,177.48333,H,STM,stream,3
Torere,-37.95,177.5,P,PPL,populated place,4
Torepatutahi Stream,-38.48333,176.31667,H,STM,stream,3
Torepapa Stream,-37.93333,176.21667,H,STM,stream,3
Torehape,-37.35,175.41666999999998,P,PPL,populated place,4
Torea Bay,-41.21667,174.03333,H,BAY,bay,3
Torbay,-36.69595,174.75124,P,PPL,populated place,4
Topuni River,-36.25,174.46667,H,STM,stream,3
Topuni,-36.21667,174.46667,P,PPL,populated place,4
Tophouse,-41.76667,172.9,S,RSRT,,
Topfer Creek,-42.08333,171.95,H,STM,stream,3
Topehahae Stream,-37.66667,175.53333,H,STM,stream,3
Top Valley Stream,-41.56667,173.46667,H,STM,stream,3
Top Two,-41.76667,172.96667,T,MT,mountain,5
Tooth Peaks,-44.98333,168.31667,T,PKS,peaks,5
Tony Creek,-41.3,172.1,H,STM,stream,3
Tongue Spur,-41.95,173.66666999999998,T,SPUR,,
Tongue Point,-41.35,174.66666999999998,T,PT,point,4
Tongou,-39.68333,174.85,H,STM,stream,3
Tongatu,-35.63333,174.48333,T,HLL,hill,5
Tonga Roadstead,-40.88333,173.05,H,BAY,bay,3
Tongariro River,-38.95,175.78333,H,STM,stream,3
Tongariro National Park,-39.25,175.58333000000002,L,PRK,park,4
Tongariro,-39.13333,175.63333,T,MT,mountain,5
Tongariro,-39.03333,175.65,P,PPL,populated place,4
Tongaporutu River,-38.81667,174.58333000000002,H,STM,stream,3
Tongaporutu,-38.81667,174.58333000000002,T,HLL,hill,5
Tongaporutu,-38.8,174.6,P,PPL,populated place,4
Tonga Island,-40.88333,173.06667,T,ISL,island,4
Tonga Hill,-40.9,173.03333,T,MT,mountain,5
Tone River,-42.03333,173.41666999999998,H,STM,stream,3
Tone,-40.88333,175.83333000000002,T,MT,mountain,5
Toms Creek,-45.01667,168.93333,H,STM,stream,3
Toms Creek,-43.16667,170.55,H,STM,stream,3
Toms Creek,-42.76667,171.65,H,STM,stream,3
Tomoporakau Creek,-46.35,168.28333,H,STM,stream,3
Tomogalak Stream,-45.76667,168.63333,H,STM,stream,3
Tomoana,-39.63333,176.86667,P,PPL,populated place,4
Tommys Flat Creek,-45.6,170.55,H,STM,stream,3
Tommys Creek,-43.0,172.53333,H,STM,stream,3
Tommy Point,-44.75,167.5,T,PT,point,4
Tommy Island,-46.96667,168.13333,T,ISL,island,4
Tommy Creek,-43.3,170.41666999999998,H,STM,stream,3
Tomb Point,-36.21667,174.08333000000002,T,PT,point,4
Takapaukura / Tom Bowling Bay,-34.4,172.91666999999998,H,BAY,bay,3
Mount Tole,-44.06667,169.5,T,MT,mountain,5
Tolaga Bay,-38.36667,178.3,P,PPL,populated place,4
Tolaga Bay,-38.36667,178.31667,H,BAY,bay,3
Tokotoko,-38.33333,176.63333,T,MT,mountain,5
Tokoroa Bay,-43.83333,172.73333,H,BAY,bay,3
Tokoroa,-38.23333,175.86667,P,PPL,populated place,4
Tokoroa,-38.21667,175.86667,A,ADM1H,historical first-order administrative division,3
Tokorakau Reef,-41.41667,175.68333,H,RF,reef(s),4
Tokomata,-34.93333,173.61667,T,HLL,hill,5
Tokomaru River,-40.526720000000005,175.40102,H,STM,stream,3
Tokomaru Bay,-38.13333,178.36667,H,BAY,bay,3
Tokomaru,-40.473,175.50933999999998,P,PPL,populated place,4
Tokomaru,-38.13333,178.3,P,PPL,populated place,4
Tokomairaro River,-46.2,170.05,H,STM,stream,3
Tokomairiro Plains,-46.08333,169.91666999999998,T,PLN,plain(s),3
Tokoiti,-46.13333,170.0,P,PPL,populated place,4
Toko Stream,-39.35,174.41666999999998,H,STM,stream,3
Toko,-39.33333,174.41666999999998,T,HLL,hill,5
Toko,-39.33333,174.4,P,PPL,populated place,4
Tokitoki Stream,-40.23715,176.144,H,STM,stream,3
Tokirima,-38.93333,175.01667,P,PPL,populated place,4
Tokirima,-38.93333,175.01667,T,HLL,hill,5
Tokirikiri,-35.76667,174.06667,T,HLL,hill,5
Tokikuku,-37.75,174.98333,T,HLL,hill,5
Tokiahuru Stream,-39.5,175.46667,H,STM,stream,3
Tokenui Creek,-36.38333,174.4,H,STM,stream,3
Tokeawa,-40.23333,175.81667,H,STM,stream,3
Tokatoka,-36.05,173.96667,P,PPL,populated place,4
Tokata Point,-46.452729999999995,169.82506999999998,T,PT,point,4
Tokarahi,-44.95,170.65,P,PPL,populated place,4
Tokapiko,-38.4,175.2,T,MT,mountain,5
Tokanui Stream,-46.6,168.83333000000002,H,STM,stream,3
Tokanui,-46.56667,168.93333,P,PPL,populated place,4
Tokamapuna Rock,-38.3,174.7,T,RK,rock,5
Tokahaki,-40.81667,174.93333,T,PT,point,4
Tokaanu Reef,-36.83333,175.41666999999998,H,RF,reef(s),4
Tokaanu,-38.96667,175.76667,P,PPL,populated place,4
Toka Ngawa,-41.01667,173.01667,T,PT,point,4
Toka,-39.98333,176.06667,T,MT,mountain,5
Toi Toi Station,-38.81667,175.01667,S,RSTN,railroad station,5
Toitoi River,-47.11667,167.98333,H,STM,stream,3
Toitoi Bay,-47.13333,168.0,H,BAY,bay,3
Toiroa,-38.16667,178.31667,T,MT,mountain,5
Toiro,-38.6,175.1,T,MT,mountain,5
Toiro,-46.26667,169.65,P,PPL,populated place,4
Toineohui,-38.81667,175.81667,T,PT,point,4
Tohungia,-35.85,174.11667,T,MT,mountain,5
Tohu Moana,-35.45,174.4,T,HLL,hill,5
Toetoes Harbour,-46.56667,168.78333,H,LGN,,
Toetoes Bay,-46.63333,168.71667,H,BAY,bay,3
Toetoehatiko,-35.63333,173.6,T,MT,mountain,5
Toetoe,-39.96667,175.35,T,HLL,hill,5
Toetoe,-34.6,172.86667,T,HLL,hill,5
Toenga Hill,-41.16667,174.16666999999998,T,HLL,hill,5
Toe Cove,-45.16667,167.13333,H,COVE,cove(s),4
Toby Rock,-46.73333,168.61667,T,RK,rock,5
Tobin Stream,-42.2,171.93333,H,STM,stream,3
Toatoa,-38.13333,177.5,P,PPL,populated place,4
Toatoa,-38.13333,177.51667,T,MT,mountain,5
Toaroha River,-42.88333,171.11667,H,STM,stream,3
Toaroha Range,-42.96667,171.18333,T,MTS,mountains,2
Toa,-46.4,168.51667,P,PPL,populated place,4
Tiwai Point,-46.6,168.36667,T,PT,point,4
Titoki,-35.73333,174.05,P,PPL,populated place,4
Titoki,-38.48333,175.25,T,MT,mountain,5
Titoki,-38.91667,174.48333,T,HLL,hill,5
Titoitoi,-38.98333,174.61667,T,MT,mountain,5
Tititira Head,-43.63333,169.43333,T,CAPE,cape,5
Titiroa Stream,-46.56667,168.76667,H,STM,stream,3
Titiroa,-46.48333,168.76667,P,PPL,populated place,4
Titiroa,-45.66667,167.51667,T,PK,peak,5
Titiraupenga,-38.5,175.7,T,MT,mountain,5
Titirangi Bay,-41.0,174.13333,H,BAY,bay,3
Titirangi North,-36.92519,174.66279,P,PPL,populated place,4
Titirangi,-36.93333,174.65,T,HLL,hill,5
Titirangi,-38.4,178.31667,T,HLL,hill,5
Titirangi,-38.68333,178.03333,T,HLL,hill,5
Titipua Stream,-46.25,168.51667,H,STM,stream,3
Titiokura Saddle,-39.21667,176.68333,T,PASS,pass,4
Titi,-40.98333,175.03333,T,MT,mountain,5
Titan Stream,-43.26667,171.31667,H,STM,stream,3
Titan Rocks,-45.53333,168.98333,T,MT,mountain,5
Titahi Bay,-41.1,174.83333000000002,P,PPL,populated place,4
Titahi Bay,-41.1,174.83333000000002,H,BAY,bay,3
Titaha,-35.23333,173.36667,T,MT,mountain,5
Tisbury,-46.45,168.4,P,PPL,populated place,4
Tirua Point,-38.38333,174.63333,T,PT,point,4
Tirotirowhetu,-39.03333,177.15,T,MT,mountain,5
Tiroroa,-41.83333,171.75,P,PPL,populated place,4
Tiromoana,-42.03333,171.38333,P,PPL,populated place,4
Tiromoana,-38.98333,177.85,S,FRM,farm,4
Tiromaunga,-45.85,168.15,P,PPL,populated place,4
Tirohia,-37.43333,175.65,P,PPL,populated place,4
Tirohanga Stream,-39.25,174.8,H,STM,stream,3
Tirohanga Stream,-35.36667,174.08333000000002,H,STM,stream,3
Tirohanga,-40.86667,175.66666999999998,T,MT,mountain,5
Tirohanga,-38.26667,178.15,T,MT,mountain,5
Tiro Creek,-46.25,169.73333,H,STM,stream,3
Tiro,-38.81667,175.08333000000002,T,MT,mountain,5
Tiritiri Matangi Island,-36.60096,174.89055,T,ISL,island,4
Tiriraukawa,-39.86667,175.51667,T,MT,mountain,5
Tiringa,-38.01667,176.88333,T,MT,mountain,5
Tirikawa Pa,-34.44207,172.73956,T,HLL,hill,5
Tiraumea River,-41.83333,172.5,H,STM,stream,3
Tiraumea River,-40.4,175.9,H,STM,stream,3
Tiraumea,-41.85,172.51667,T,MT,mountain,5
Tiraumea,-40.63333,176.04557,P,PPL,populated place,4
Tirau,-37.98333,175.75,P,PPL,populated place,4
Tirau,-38.03333,175.73333,T,HLL,hill,5
Tiratumutumu,-35.7,174.01667,T,HLL,hill,5
Tiraha,-39.88333,176.11667,T,MT,mountain,5
Tira-ora,-41.08333,173.86667,P,PPL,populated place,4
Tipperary Creek,-41.63333,173.3,H,STM,stream,3
Tionui,-39.71667,174.86667,T,MT,mountain,5
Tinwald Burn,-44.91667,169.3,H,STM,stream,3
Tinwald,-43.91667,171.71667,P,PPL,populated place,4
Tinui River,-40.88333,176.08333000000002,H,STM,stream,3
Tinui Hill,-40.81667,176.15,T,MT,mountain,5
Tinui,-40.88333,176.06667,P,PPL,populated place,4
Tinui,-40.78333,173.96667,T,ISL,island,4
Tintock,-40.78333,175.88333,T,MT,mountain,5
Tinselburn,-44.96667,169.05,H,STM,stream,3
Tinopai,-36.25441,174.24608,P,PPL,populated place,4
Tinline River,-41.31667,173.5,H,STM,stream,3
Mount Tinline,-42.45,173.11667,T,MT,mountain,5
Tinline Creek,-42.4,173.15,H,STM,stream,3
Tinline,-41.26667,173.5,P,PPL,populated place,4
Tiniroto,-38.76667,177.56667,P,PPL,populated place,4
Tin Creek,-41.48333,172.45,H,STM,stream,3
Timutimu Head,-43.89717,172.94986,T,CAPE,cape,5
Timpanys,-46.45,168.51667,S,RSTN,railroad station,5
Timore,-47.13892,167.51688000000001,T,ISL,island,4
Timms Stream,-42.36667,172.8,H,STM,stream,3
Timms Stream,-41.55,173.51667,H,STM,stream,3
Times Glacier,-43.48333,170.3,H,GLCR,glacier(s),4
Timber Creek,-45.65,169.18333,H,STM,stream,3
Timber Creek,-44.76667,169.1,H,STM,stream,3
Timaru Stream,-39.11667,173.91666999999998,H,STM,stream,3
Timaru River,-44.55,169.3,H,STM,stream,3
Timaru Creek Station,-44.55,169.31667,S,FRM,farm,4
Timaru,-44.39672,171.25364,P,PPL,populated place,4
Timaru District,-44.4,171.21667,A,ADM2,,
Timahanga,-40.66667,175.85,T,MT,mountain,5
Tima Burn,-45.66667,169.4,H,STM,stream,3
Tim Burn,-44.75,169.51667,H,STM,stream,3
Tikotatahi Bay,-47.1,168.16666999999998,H,BAY,bay,3
Tikore Island,-46.56667,168.31667,T,ISL,island,4
Tikorangi,-39.03333,174.28333,P,PPL,populated place,4
Tikorangi,-38.58333,176.73333,T,MT,mountain,5
Tikorangi,-38.26667,176.06667,T,MT,mountain,5
Tikorangi,-34.53068,172.86608,T,HLL,hill,5
Tikorangi,-39.05,174.28333,T,HLL,hill,5
Tikorangi,-38.06667,176.55,H,SPNT,,
Tikokino,-39.81667,176.45,P,PPL,populated place,4
Tikokino,-39.8,176.43333,A,ADMD,administrative division,3
Tikitikioure,-35.28333,174.15,T,HLL,hill,5
Tikitiki,-38.48333,175.06667,T,MT,mountain,5
Tikitere Hot Springs,-38.06667,176.36667,H,SPNT,,
Tikitere,-38.06667,176.36667,P,PPL,populated place,4
Lake Tikitapu,-38.2,176.33333000000002,H,LK,lake,4
Tikiora,-35.21667,174.18333,T,HLL,hill,5
Tikinui,-36.13333,173.96667,P,PPL,populated place,4
Tikinui,-36.13333,173.98333,T,HLL,hill,5
Tikikaru,-38.43333,175.1,T,MT,mountain,5
Tikihore,-38.18333,177.81667,T,MT,mountain,5
Tiki Tiki,-39.4,176.03333,T,MT,mountain,5
Tikerere Stream,-39.6,175.86667,H,STM,stream,3
Tika Puraunui,-36.18333,174.43333,T,HLL,hill,5
Tihorea,-38.98333,176.33333000000002,T,MT,mountain,5
Tihikoreoreo,-38.58333,175.3,T,MT,mountain,5
Tihia,-39.0,175.73333,T,MT,mountain,5
Tiheroa,-38.11667,175.18333,T,HLL,hill,5
Tihaka,-46.35439,167.93246000000002,P,PPL,populated place,4
Tiger Stream,-41.73333,171.91666999999998,H,STM,stream,3
Mount Tiger,-38.75,174.61667,T,HLL,hill,5
Mount Tiger,-35.7,174.38333,T,HLL,hill,5
Tiger Hill,-45.13333,169.56667,T,MT,mountain,5
Tiffin,-41.06667,175.58333000000002,T,HLL,hill,5
